Key,English,Sinhala (draft),Correction,Notes
home.profileBody,{{percent}}% done · Get personalised learning,{{percent}}% අවසන් · ඔබට ගැළපෙන ඉගෙනුමක්,,
home.slideCoursesTitle,Find your course,ඔබේ පාඨමාලාව සොයන්න,,
home.slideServicesTitle,Let us handle the paperwork,ලියකියවිලි අපට භාර දෙන්න,,
home.ctaCourses,Browse courses,පාඨමාලා බලන්න,,
home.ctaServices,See services,සේවා බලන්න,,
home.ctaChecklists,Open checklist,පිරික්සුම් ලැයිස්තුව බලන්න,,
home.ctaCourse,View course,පාඨමාලාව බලන්න,,
home.ctaMore,Learn more,තව දැනගන්න,,
home.greetingName,{{name}},{{name}},,
courses.title,Courses,පාඨමාලා,,
courses.emptyTitle,No courses yet,තවම පාඨමාලා නැත,,
courses.emptyBody,Plan B will publish your courses here. Check back soon.,Plan B ඔබේ පාඨමාලා මෙහි පළ කරනු ඇත. ඉක්මනින් නැවත බලන්න.,,
courses.progress,{{watched}} of {{total}} lessons,පාඩම් {{total}}න් {{watched}},,
courses.lessonCount_one,{{count}} lesson,පාඩම් {{count}},,
courses.lessonCount_other,{{count}} lessons,පාඩම් {{count}},,
courses.notStarted,Not started,ආරම්භ කර නැත,,
courses.complete,Complete,අවසන්,,
courses.loadFailedTitle,Couldn't load your courses,ඔබේ පාඨමාලා පූරණය කළ නොහැකි විය,,
courses.loadFailedBody,Check your connection and try again.,ඔබේ සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
courses.topics,Topics,මාතෘකා,,
courses.lessons,Lessons,පාඩම්,,
courses.locked,Finish the previous lesson to unlock this one,මෙය විවෘත වීමට පෙර පාඩම අවසන් කරන්න,,
courses.watched,Watched,නරඹා ඇත,,
courses.myTitle,My Courses,මගේ පාඨමාලා,,
courses.tabEnrolled,My courses,මගේ පාඨමාලා,,
courses.lockedBadge,Locked,අගුළු දමා ඇත,,
courses.enrolledBadge,Enrolled,ලියාපදිංචියි,,
courses.free,Free,නොමිලේ,,
courses.content,{{topics}} topics · {{lessons}} lessons,මාතෘකා {{topics}} · පාඩම් {{lessons}},,
courses.noneEnrolledTitle,No courses yet,තවම පාඨමාලා නැත,,
courses.noneEnrolledBody,Enrol in a course and it will appear here with your progress.,පාඨමාලාවකට ලියාපදිංචි වූ පසු එය ඔබේ ප්‍රගතිය සමඟ මෙහි පෙන්වයි.,,
courses.browseAll,Browse all courses,සියලු පාඨමාලා බලන්න,,
courses.browse,Browse,බලන්න,,
courses.mySearchLabel,Search my courses,මගේ පාඨමාලා සොයන්න,,
courses.mySearchPlaceholder,Search your courses,ඔබේ පාඨමාලා සොයන්න,,
courses.noMatchTitle,No courses match,ගැළපෙන පාඨමාලා නැත,,
courses.noMatchBody,"Try a shorter word, or clear the search.","කෙටි වචනයක් උත්සාහ කරන්න, නැතහොත් සෙවුම මකන්න.",,
courses.detailTitle,Course details,පාඨමාලා විස්තර,,
courses.share,Share course,පාඨමාලාව බෙදාගන්න,,
courses.shareMessage,{{name}} — a Plan B Academy course: {{url}},{{name}} — Plan B Academy පාඨමාලාවක්: {{url}},,
courses.tabAbout,About,විස්තරය,,
courses.tabQuiz,Quiz,ප්‍රශ්නාවලිය,,
courses.metaDuration,Total duration {{length}},මුළු කාලය {{length}},,
courses.metaRating,Rating {{rating}} ({{count}}),ශ්‍රේණිගත කිරීම {{rating}} ({{count}}),,
courses.learners,{{count}} learners,ඉගෙන ගන්නන් {{count}},,
courses.newBadge,New,අලුත්,,
courses.startLearning,Start learning,ඉගෙනීම අරඹන්න,,
courses.continueLearning,Continue learning,ඉගෙනීම දිගටම,,
courses.syllabusEmptyTitle,Lessons coming soon,පාඩම් ඉක්මනින්,,
courses.syllabusEmptyBody,Plan B is still adding lessons to this course.,Plan B තවමත් මෙම පාඨමාලාවට පාඩම් එක් කරමින් සිටී.,,
courses.topicEmpty,No lessons in this topic yet.,මෙම මාතෘකාවේ තවම පාඩම් නැත.,,
courses.orderBadge,Course {{number}},පාඨමාලාව {{number}},,Badge on a course picture: its place in its category's order.
courses.orderHint,"Take these courses in order, starting from Course 1.","පාඨමාලාව 1 සිට පටන් ගෙන, මෙම පාඨමාලා පිළිවෙලින් හදාරන්න.",,Shown above a category's course list.
courses.orderHintCourse,"Take the {{category}} courses in order, starting from Course 1.","{{category}} පාඨමාලා, පාඨමාලාව 1 සිට පිළිවෙලින් හදාරන්න.",,On a course page. {{category}} is the category name.
browse.title,All Courses,සියලු පාඨමාලා,,
browse.subtitle,Courses you haven't enrolled in yet.,ඔබ තවම ලියාපදිංචි වී නැති පාඨමාලා.,,
browse.emptyTitle,Nothing new right now,දැනට අලුත් දෙයක් නැත,,
browse.emptyBody,You're enrolled in everything Plan B has published. Check back soon.,Plan B පළ කර ඇති සියල්ලටම ඔබ ලියාපදිංචි වී ඇත. ඉක්මනින් නැවත බලන්න.,,
browse.categoryEmptyTitle,Nothing in this category,මෙම ප්‍රවර්ගයේ කිසිවක් නැත,,
browse.categoryEmptyBody,Try another category to see what else is available.,තවත් දේ බැලීමට වෙනත් ප්‍රවර්ගයක් තෝරන්න.,,
browseServices.title,All Services,සියලු සේවා,,
browseServices.subtitle,Services you haven't bought yet.,ඔබ තවම මිලදී ගෙන නැති සේවා.,,
browseServices.allBoughtTitle,You have them all,ඔබ සතුව සියල්ල ඇත,,
browseServices.allBoughtBody,You've bought every service Plan B offers. Follow their progress in My Services.,Plan B ලබා දෙන සෑම සේවාවක්ම ඔබ මිලදී ගෙන ඇත. ඒවායේ ප්‍රගතිය මගේ සේවා තුළ බලන්න.,,
browseServices.searchLabel,Search services,සේවා සොයන්න,,
browseServices.searchPlaceholder,Search a service,සේවාවක් සොයන්න,,
browseServices.noMatchTitle,No services found,සේවා හමු නොවීය,,
browseServices.noMatchBody,Try a shorter word.,කෙටි වචනයක් උත්සාහ කරන්න.,,
search.label,Search courses,පාඨමාලා සොයන්න,,
search.placeholder,What do you want to learn?,ඔබට ඉගෙන ගන්න ඕනෑ මොකක්ද?,,
search.newBadge,New,අලුත්,,
search.matchedTopic,Topic: {{topic}},මාතෘකාව: {{topic}},,
search.noMatchesTitle,No courses found,පාඨමාලා හමු නොවීය,,
search.noMatchesBody,"Try a shorter word, or another category.","කෙටි වචනයක්, නැතහොත් වෙනත් ප්‍රවර්ගයක් උත්සාහ කරන්න.",,
search.filters,Filter by category,ප්‍රවර්ගය අනුව පෙරන්න,,
search.filtersActive,"Filters, {{count}} selected","පෙරහන්, {{count}}ක් තෝරා ඇත",,
search.categoriesTitle,Categories,ප්‍රවර්ග,,
search.subCategoriesTitle,Sub-category,උප ප්‍රවර්ගය,,
search.allInCategory,All in {{name}},{{name}} තුළ සියල්ල,,"{{name}} is a category name, e.g. Migration"
search.applyFilters,Apply,යොදන්න,,Button that applies the category filter
search.clearFilters,Clear,මකන්න,,
search.resultCount_one,{{count}} course,පාඨමාලා {{count}},,
search.resultCount_other,{{count}} courses,පාඨමාලා {{count}},,
search.idleTitle,Find a course,පාඨමාලාවක් සොයන්න,,
search.idleBody,"Type what you want to learn, or filter by category.","ඔබට ඉගෙන ගැනීමට අවශ්‍ය දේ ටයිප් කරන්න, නැතහොත් ප්‍රවර්ගය අනුව පෙරන්න.",,
search.filteredOutTitle,Nothing in this category,මෙම ප්‍රවර්ගයේ කිසිවක් නැත,,
search.filteredOutBody,"Try another category, or clear the filter.","වෙනත් ප්‍රවර්ගයක් තෝරන්න, නැතහොත් පෙරහන ඉවත් කරන්න.",,
checklist.title,Checklists,පිරික්සුම් ලැයිස්තු,,
checklist.subtitle,Your step-by-step guide to moving to the UAE.,UAE වෙත යාමට ඔබේ පියවරෙන් පියවර මාර්ගෝපදේශය.,,
checklist.beforeArrival,Before arrival,පිටත්වීමට පෙර,,
checklist.afterArrival,After arrival,පැමිණීමෙන් පසු,,
checklist.beforeArrivalHint,Finish these before you fly.,පියාසර කිරීමට පෙර මේවා අවසන් කරන්න.,,
checklist.afterArrivalHint,Do these in your first weeks in the UAE.,UAE හි ඔබේ පළමු සති කිහිපයේදී මේවා කරන්න.,,
checklist.progress,{{completed}} of {{total}} done,{{total}}න් {{completed}} අවසන්,,
checklist.stepsToGo_one,{{count}} step to go,පියවර {{count}}ක් ඉතිරියි,,
checklist.stepsToGo_other,{{count}} steps to go,පියවර {{count}}ක් ඉතිරියි,,
checklist.notStarted,Nothing ticked off yet,තවම කිසිවක් සලකුණු කර නැත,,
checklist.allDoneTitle,All done,සියල්ල අවසන්,,
checklist.allDoneBody,You've finished every step on this list.,මෙම ලැයිස්තුවේ සෑම පියවරක්ම ඔබ අවසන් කර ඇත.,,
checklist.phaseComplete,That's your {{phase}} list finished. Nice work.,ඔබේ {{phase}} ලැයිස්තුව අවසන්. හොඳ වැඩක්.,,
checklist.markDone,Mark as done,අවසන් ලෙස සලකුණු කරන්න,,
checklist.markNotDone,Mark as not done,අවසන් නොවූ ලෙස සලකුණු කරන්න,,
checklist.doneOn,Done on {{date}},{{date}} දින අවසන් කළා,,
checklist.howTo,How to do this,මෙය කරන්නේ කෙසේද,,
checklist.steps_one,{{count}} step,පියවර {{count}},,
checklist.steps_other,{{count}} steps,පියවර {{count}},,
checklist.readSteps,Read the steps,පියවර කියවන්න,,
checklist.noSteps,Plan B hasn't added instructions for this one yet. Contact support if you're unsure.,Plan B තවම මේ සඳහා උපදෙස් එක් කර නැත. විශ්වාස නැතිනම් සහාය අංශය අමතන්න.,,
checklist.emptyTitle,Nothing here yet,තවම මෙහි කිසිවක් නැත,,
checklist.emptyBody,Plan B will publish this checklist soon. Check back in a few days.,Plan B මෙම ලැයිස්තුව ඉක්මනින් පළ කරනු ඇත. දින කිහිපයකින් නැවත බලන්න.,,
checklist.loadFailedTitle,Couldn't load your checklists,ඔබේ පිරික්සුම් ලැයිස්තු පූරණය කළ නොහැකි විය,,
checklist.loadFailedBody,Check your connection and try again.,ඔබේ සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
checklist.saveFailed,We couldn't save that. Check your connection and try again.,එය සුරැකීමට නොහැකි විය. සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
player.noSkip,You can't skip ahead — watch the lesson to unlock the next one.,ඉදිරියට පැනිය නොහැක — ඊළඟ පාඩම විවෘත වීමට මෙම පාඩම නරඹන්න.,,
player.expired,Reconnecting to the lesson…,පාඩමට නැවත සම්බන්ධ වෙමින්…,,
player.loadFailed,This lesson couldn't be loaded. Check your connection and try again.,මෙම පාඩම පූරණය කළ නොහැකි විය. සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
player.needsConnection,Lessons need an internet connection.,පාඩම් නැරඹීමට අන්තර්ජාල සම්බන්ධතාවයක් අවශ්‍යයි.,,
player.notReadyTitle,This lesson isn’t ready yet,මෙම පාඩම තවම සූදානම් නැත,,
player.notReadyBody,Plan B hasn’t uploaded the video for this lesson. It will appear here as soon as they do.,Plan B තවම මෙම පාඩමේ වීඩියෝව උඩුගත කර නැත. උඩුගත කළ විගස එය මෙහි පෙන්වයි.,,
player.offlineTitle,No internet connection,අන්තර්ජාල සම්බන්ධතාවයක් නැත,,
player.offlineBody,"Lessons stream from Plan B, so you need to be online to watch. Check your connection and try again.",පාඩම් Plan B වෙතින් එන නිසා නැරඹීමට ඔබ ඔන්ලයින් විය යුතුයි. සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
player.blockedTitle,You can’t open this lesson,ඔබට මෙම පාඩම විවෘත කළ නොහැක,,
player.blockedBody,"Your account may be suspended, or this course isn’t available to you. Please contact Plan B support.","ඔබේ ගිණුම අත්හිටුවා තිබිය හැක, නැතහොත් මෙම පාඨමාලාව ඔබට ලබා ගත නොහැක. Plan B සහාය අංශය අමතන්න.",,
player.unknownTitle,This lesson couldn’t be loaded,මෙම පාඩම පූරණය කළ නොහැකි විය,,
player.unknownBody,Something went wrong on our side. Please try again in a moment.,අපේ පැත්තෙන් යම් ගැටලුවක් ඇති විය. මොහොතකින් නැවත උත්සාහ කරන්න.,,
player.rewind,Rewind {{seconds}} seconds,තත්පර {{seconds}}ක් ආපසු,,
player.position,Lesson position,පාඩමේ ස්ථානය,,
paper.title,Assessment,තක්සේරුව,,
paper.start,Start assessment,තක්සේරුව අරඹන්න,,
paper.resume,Resume assessment,තක්සේරුව දිගටම,,
paper.question,Question {{current}} of {{total}},ප්‍රශ්නය {{total}}න් {{current}},,
paper.review,Review answers,පිළිතුරු නැවත බලන්න,,
paper.submit,Submit,ඉදිරිපත් කරන්න,,
paper.submitConfirm,Submit your answers? You can't change them afterwards.,ඔබේ පිළිතුරු ඉදිරිපත් කරනවාද? ඉන් පසු ඒවා වෙනස් කළ නොහැක.,,
paper.unanswered,Answer every question before submitting.,ඉදිරිපත් කිරීමට පෙර සෑම ප්‍රශ්නයකටම පිළිතුරු දෙන්න.,,
paper.passMark,Pass mark: {{mark}}%,සමත් ලකුණු: {{mark}}%,,
paper.attemptsLeft,{{count}} attempt left,අවස්ථා {{count}}ක් ඉතිරියි,,
paper.attemptsLeft_other,{{count}} attempts left,අවස්ථා {{count}}ක් ඉතිරියි,,
paper.attemptsUnlimited,Unlimited attempts,අවස්ථා සීමාවක් නැත,,
paper.passed,You passed,ඔබ සමත් වුණා,,
paper.failed,Not quite,ටිකක් අඩුයි,,
paper.retake,Retake assessment,තක්සේරුව නැවත කරන්න,,
paper.score,You scored {{score}}%,ඔබේ ලකුණු {{score}}%,,
paper.answersHidden,"You'll see which answers were right once you pass, or when you have no attempts left.","ඔබ සමත් වූ පසු, නැතහොත් අවස්ථා ඉතිරි නොවූ පසු නිවැරදි පිළිතුරු පෙන්වයි.",,
paper.blocked.videos_incomplete,Watch every lesson in this course to unlock the assessment.,තක්සේරුව විවෘත වීමට මෙම පාඨමාලාවේ සෑම පාඩමක්ම නරඹන්න.,,
paper.blocked.attempts_exhausted,You've used all your attempts. Contact Plan B support.,ඔබේ සියලු අවස්ථා භාවිත කර ඇත. Plan B සහාය අංශය අමතන්න.,,
paper.blocked.already_passed,You've already passed this assessment.,ඔබ මෙම තක්සේරුවෙන් දැනටමත් සමත් වී ඇත.,,
paper.blocked.no_questions,This assessment isn't ready yet.,මෙම තක්සේරුව තවම සූදානම් නැත.,,
paper.questionCount_one,{{count}} question,ප්‍රශ්න {{count}},,
paper.questionCount_other,{{count}} questions,ප්‍රශ්න {{count}},,
profile.title,Profile,පැතිකඩ,,
profile.edit,Edit profile,පැතිකඩ සංස්කරණය,,
profile.photo,Photo,ඡායාරූපය,,
profile.changePhoto,Change photo,ඡායාරූපය වෙනස් කරන්න,,
profile.removePhoto,Remove photo,ඡායාරූපය ඉවත් කරන්න,,
profile.studentId,Student ID,සිසු අංකය,,
profile.contactNumber,Contact number,දුරකථන අංකය,,
profile.address,Address,ලිපිනය,,
profile.dateOfBirth,Date of birth,උපන් දිනය,,
profile.qualification,Highest qualification,උසස්ම සුදුසුකම,,
profile.industry,Industry,කර්මාන්තය,,
profile.profession,Profession,වෘත්තිය,,
profile.languages,Languages spoken,කථා කරන භාෂා,,
profile.language,App language,යෙදුමේ භාෂාව,,
profile.emailLocked,Contact Plan B support to change the email on your account.,ගිණුමේ ඊමේල් ලිපිනය වෙනස් කිරීමට Plan B සහාය අංශය අමතන්න.,,
profile.nameLocked,Contact Plan B support to change your name.,ඔබේ නම වෙනස් කිරීමට Plan B සහාය අංශය අමතන්න.,,
profile.saved,Profile updated,පැතිකඩ යාවත්කාලීන කළා,,
profile.editTitle,Edit profile,පැතිකඩ සංස්කරණය,,
profile.fullName,Full name,සම්පූර්ණ නම,,
profile.fullNamePlaceholder,As it appears on your passport,ගමන් බලපත්‍රයේ ඇති ආකාරයට,,
profile.visaStatus,Visa status,වීසා තත්ත්වය,,
profile.visaVisit,Visit,සංචාරක,,
profile.visaEmployment,Employment,රැකියා,,
profile.addressPlaceholder,"House number, street, city","නිවස අංකය, වීදිය, නගරය",,
profile.dobPlaceholder,Select your date of birth,ඔබේ උපන් දිනය තෝරන්න,,
profile.day,Day,දිනය,,
profile.month,Month,මාසය,,
profile.year,Year,වර්ෂය,,
